id,title,price,image,category,description
1,GG4,89,https://images.leafly.com/flower-images/gg-4.jpg,Hybrid,"Original Glue (GG4), developed by GG Strains, is a potent hybrid strain that delivers heavy-handed euphoria and relaxation, leaving you feeling “glued” to the couch. Its chunky, resin-covered buds fill the room with pungent earthy and sour aromas inherited from its parent strains, Chem’s Sister, Sour Dubb, and Chocolate Diesel. Taking first place in both the Michigan and Los Angeles 2014 Cannabis Cups as well as the High Times Jamaican World Cup, this multiple award-winning hybrid's supremacy is no longer a secret, and consumers will search far and wide to get their hands sticky with Original Glue (GG4)."
2,Wedding Cake,73,https://images.leafly.com/flower-images/wedding-cake.jpg,Hybrid,"Wedding Cake is a potent indica-hybrid marijuana strain made by crossing Cherry Pie with Girl Scout Cookies. Wedding Cake provides relaxing and euphoric effects that calm the body and mind. This strain features a rich and tangy flavor profile with undertones of earthy pepper. Medical marijuana patients choose Wedding Cake to help relieve symptoms associated with pain, insomnia and appetite loss. Consumers with a low THC tolerance should enjoy this strain with an extra slice of care due to its high THC content. Wedding Cake has soared in popularity over the years and was named Leafly Strain of the Year in 2019. Fun fact: In Canada, this strain is known as Pink Cookies."
3,Runtz,86,https://images.leafly.com/flower-images/runtz-nug-image.jpg,Hybrid,"Runtz is a rare hybrid marijuana strain by Cookies. It's made by crossing Zkittlez with Gelato and is loved for its incredibly fruity flavor profile that smells just like a bag of the sugary candy we all know and love. Because of the rising popularity of this strain, it's no surprise Runtz was named Leafly Strain of the Year in 2020. Growers say this strain has resin-drenched buds that range in color from rich purple to lime green. Runtz is celebrated for its creamy smoke that is smooth and welcoming. This strain produces euphoric and uplifting effects that are known to be long-lasting."
4,Gelato,85,https://images.leafly.com/flower-images/gelato.jpg,Hybrid,"Gelato, aka Larry Bird, is a hybrid marijuana strain made by crossing Sunset Sherbet and Thin Mint Girl Scout Cookies. The effects of Gelato produce a euphoric high accompanied by strong feelings of relaxation. Consumers say the physical sensation comes on strong, but many find themselves still mentally agile enough to stay productive and creative during the day. Gelato gets its name from the fruity, dessert-like aroma it smells like. Novice consumers may want to approach this THC Powerhouse with caution, but those armed with a high THC tolerance will delight in the heavy-handed effects of this strain. Medical marijuana patients choose Gelato to help relieve symptoms associated with pain, fatigue, and insomnia. Growers say this strain produces buds that bloom in dark purple hues and is illuminated by fiery orange hairs and a shining white coat of crystal resin."
5,Blue Dream,62,https://images.leafly.com/flower-images/blue-dream.png,Hybrid,"Blue Dream is a sativa-dominant hybrid marijuana strain made by crossing Blueberry with Haze. Blue Dream produces a balancing high accompanied by full-body relaxation with gentle cerebral invigoration. Novice and veteran consumers alike enjoy the calming and euphoric effects that Blue Dream provides. Consumers also love the flavor - which smells and tastes just like sweet berries. Medical marijuana patients say Blue Dream delivers swift relief from symptoms associated with pain, depression, and nausea. Growers say this strain is best suited to the Sea of Green Method and has an average flowering time of 67 days. Fun Fact: Blue Dream originated in California and has achieved legendary status among West Coast strains."
6,Purple Punch,98,https://images.leafly.com/flower-images/purple-punch-fixed.jpg,Indica,"Purple Punch is the sweet and sedating union of two indica-dominant classics. By breeding Larry OG with Granddaddy Purple, the astonishing trichome laden Purple Punch was born, smelling of grape candy, blueberry muffins, and tart Kool-Aid. The potency of this strain gives the consumer a one-two punch to the head and body, initially landing between the eyes and settling down into the limbs. Purple Punch is a delicious dessert strain that is best suited for after dinner. Its effects may help with managing nausea, stress, minor body aches, and sleeplessness."
7,GSC,71,https://images.leafly.com/flower-images/gsc.png,Hybrid,"GSC, also called Girl Scout Cookies, is an indica-hybrid marijuana strain made by crossing OG Kush with Durban Poison. GSC produces euphoric effects followed by full-body relaxation. This strain typically features a high level of THC, so it is best reserved for consumers with a high THC tolerance. GSC is loved for its sweet and pungent flavor profile with notes of mint, cherry and lemon."
8,OG Kush,72,https://images.leafly.com/flower-images/og-kush.png,Hybrid,"OG Kush was first cultivated in Florida, in the early ‘90s when a strain from Northern California was crossed with a Hindu Kush plant from Amsterdam. The result was a hybrid with a unique terpene profile that boasts a complex aroma with notes of fuel, skunk, and spice. "
9,Sour Diesel,77,https://images.leafly.com/flower-images/sour-diesel.jpg,Sativa,"Sour Diesel, aka Sour D, is a sativa marijuana strain made by crossing Chemdawg and Super Skunk. Sour Diesel produces dreamy cerebral effects that are fast-acting and energizing. This strain features a pungent flavor profile that smells like diesel. Medical marijuana patients choose Sour Diesel to help relieve symptoms associated with depression, pain, and stress. Growers say this strain grows best in a dry, outdoor climate and has a flowering time of 77 days. Fun fact: Sour Diesel first became popular in the early 1990s and has been legendary ever since."
10,Sherbert,53,https://images.leafly.com/flower-images/sunset-sherbert.jpg,Hybrid,"Heir to the GSC throne is Sherbert, also known as Sherbet and/or Sunset Sherbert, an indica-leaning hybrid with intoxicatingly potent effects. Bred by Mr. Sherbinski, Sherbert inherits the genetic lineage of its GSC parent, whose ancestors include the famed OG Kush, Cherry Pie, and Durban Poison. Crossed with Pink Panties, Sherbert exhibits powerful full-body effects elevated by a jolt of cerebral energy. A complex aroma colors Sherbert with notes of skunky citrus, sweet berry, and that candy-like smell redolent of its GSC parent. Stress, tension, and sour moods melt away with the carefree mindset and physical relaxation that comes with this rich hybrid."
11,Granddaddy Purple,73,https://images.leafly.com/flower-images/granddaddy-purple.png,Indica,"Introduced in 2003 by Ken Estes, Granddaddy Purple (or GDP) is a famous indica cross of Purple Urkle and Big Bud. This California staple inherits a complex grape and berry aroma from its Purple Urkle parent, while Big Bud passes on its oversized, compact bud structure. GDP flowers bloom in shades of deep purple, a contrasting backdrop for its snow-like dusting of white crystal resin."
12,Do-Si-Dos,67,https://images.leafly.com/flower-images/do-si-dos.jpg,Indica,"Do-Si-Dos is an indica-dominant hybrid marijuana strain with qualities similar to its parent, OGKB, a GSC-phenotype. With glittering trichomes, bright pistils, and lime green and lavender leaves, this strain is a feast for eyes. Its aroma is pungent, sweet, and earthy with slight floral funkiness. These classic OG aromas blend nicely with medical-grade body effects that lean toward the sedative side with the addition of Face Off OG genetics. Enjoy a stoney, in-your-face buzz off the start that melts down over the body, prettifying the consumer with relaxation that emanates outward. "
13,Jack Herer,79,https://images.leafly.com/flower-images/jack-herer.jpg,Sativa,"Jack Herer is a sativa-dominant cannabis strain that has gained as much renown as its namesake, the marijuana activist and author of The Emperor Wears No Clothes. Combining a Haze hybrid with a Northern Lights #5 and Shiva Skunk cross, Sensi Seeds created Jack Herer hoping to capture both cerebral elevation and heavy resin production. Its rich genetic background gives rise to several different variations of Jack Herer, each phenotype bearing its own unique features and effects. However, consumers typically describe this 55% sativa hybrid as blissful, clear-headed, and creative."
